Customer ID,Customer Name,Age,Gender,Marital Status,Income Range,State,City,Loyalty Tier,Subscription Status
6e1d9a4d,Customer_0,62,Male,Married,40K-60K,Florida,Miami,Silver,Inactive
55974eee,Customer_1,47,Male,Single,40K-60K,Illinois,Houston,Gold,Active
1c686943,Customer_2,19,Female,Married,<40K,Florida,Chicago,Gold,Inactive
bc271a67,Customer_3,68,Female,Divorced,40K-60K,Texas,Chicago,Gold,Inactive
6c079fe6,Customer_4,26,Male,Divorced,60K-80K,Florida,Chicago,Silver,Active
6822e0f9,Customer_5,51,Female,Married,60K-80K,New York,Los Angeles,Gold,Active
18844eed,Customer_6,25,Male,Married,40K-60K,Florida,Dallas,Gold,Active
219044e0,Customer_7,54,Male,Single,>100K,Texas,Los Angeles,Gold,Active
2e151b08,Customer_8,33,Male,Divorced,60K-80K,Illinois,Los Angeles,Gold,Active
7b430002,Customer_9,66,Male,Divorced,80K-100K,California,Miami,Silver,Inactive
2a241426,Customer_10,44,Female,Divorced,60K-80K,New York,Dallas,Silver,Inactive
c30fe97d,Customer_11,30,Female,Divorced,40K-60K,Illinois,Chicago,Silver,Inactive
1be3dc00,Customer_12,54,Male,Married,60K-80K,Illinois,Houston,Gold,Inactive
02dc0ff9,Customer_13,37,Female,Married,>100K,Illinois,Miami,Bronze,Active
f692e99e,Customer_14,23,Male,Married,60K-80K,Florida,Houston,Gold,Active
6b5c4145,Customer_15,62,Male,Married,60K-80K,New York,Houston,Bronze,Active
faeb9217,Customer_16,73,Female,Married,80K-100K,New York,Dallas,Bronze,Active
06b33493,Customer_17,47,Male,Married,60K-80K,New York,Chicago,Bronze,Inactive
e6ad35f7,Customer_18,52,Male,Divorced,40K-60K,Texas,Houston,Bronze,Active
2837f50a,Customer_19,73,Female,Single,40K-60K,Illinois,Miami,Bronze,Inactive
12ec2e81,Customer_20,61,Male,Divorced,40K-60K,New York,Dallas,Bronze,Inactive
79286c61,Customer_21,26,Female,Divorced,60K-80K,Texas,Miami,Gold,Active
44c04da5,Customer_22,40,Female,Single,40K-60K,Florida,Miami,Silver,Inactive
75ac0259,Customer_23,54,Female,Married,60K-80K,California,Los Angeles,Silver,Inactive
a2823a2d,Customer_24,36,Female,Single,60K-80K,Texas,Chicago,Silver,Inactive
3bc90755,Customer_25,48,Male,Married,<40K,Illinois,Los Angeles,Bronze,Active
0e559f36,Customer_26,41,Female,Married,<40K,Texas,Chicago,Bronze,Inactive
31276b9f,Customer_27,20,Female,Married,40K-60K,Texas,Miami,Silver,Inactive
5b4868a5,Customer_28,37,Male,Single,<40K,California,Houston,Bronze,Inactive
ec882343,Customer_29,48,Male,Single,40K-60K,New York,Los Angeles,Gold,Inactive
9006f08e,Customer_30,60,Female,Single,40K-60K,Illinois,Miami,Bronze,Inactive
6bd22c0d,Customer_31,18,Female,Married,80K-100K,New York,Chicago,Silver,Inactive
