Order ID,Customer ID,Product ID,Order Date,Category,Sub-Category,Quantity,Sales Amount,Discount,Profit,Tax Amount,Region,State,City,Payment Mode
eb4aa83f,9ff731d0,2110,2023-01-01 00:00:00,Furniture,Chairs,4,59.16,19.79,283.41,4.14,North,Illinois,Houston,PayPal
8856f56e,8a180069,2476,2023-01-01 01:00:00,Furniture,Chairs,3,1599.44,21.0,391.33,111.96,South,New York,Chicago,Debit Card
79d769d8,3f70165d,2380,2023-01-01 02:00:00,Clothing,Accessories,1,819.49,21.07,380.81,57.36,South,Florida,Chicago,PayPal
b892a6b9,e10f21e8,2452,2023-01-01 03:00:00,Sports,Outdoor,1,270.97,8.41,348.1,18.97,East,Illinois,Houston,PayPal
f1cdf16b,5e1c6dd2,2364,2023-01-01 04:00:00,Furniture,Chairs,1,1535.38,11.47,400.56,107.48,South,California,Dallas,PayPal
e9e523c6,274abd1f,2218,2023-01-01 05:00:00,Furniture,Chairs,4,1177.83,26.17,9.67,82.45,North,California,Miami,PayPal
61d12b0e,cd1b6793,2011,2023-01-01 06:00:00,Furniture,Sofas,1,839.55,12.42,258.67,58.77,West,Texas,Dallas,PayPal
271b0d75,b2fcd26e,2124,2023-01-01 07:00:00,Furniture,Tables,3,1925.11,25.48,291.2,134.76,East,California,Los Angeles,Debit Card
121cb02e,5491be8f,2293,2023-01-01 08:00:00,Electronics,Accessories,5,1036.05,25.46,257.64,72.52,East,New York,Los Angeles,Credit Card
4bfa84b6,030b90df,2232,2023-01-01 09:00:00,Clothing,Accessories,2,1240.65,16.52,436.89,86.85,South,Florida,Houston,Bank Transfer
06aa881c,79de7363,2492,2023-01-01 10:00:00,Home Decor,Wall Art,2,393.24,7.37,251.9,27.53,West,Florida,Houston,Bank Transfer
a10839fb,29e52c20,2444,2023-01-01 11:00:00,Clothing,Women,2,560.57,9.62,146.85,39.24,North,Florida,Houston,Bank Transfer
6ff50aae,076c5541,2283,2023-01-01 12:00:00,Clothing,Accessories,5,1090.4,8.67,475.54,76.33,North,Illinois,Los Angeles,Bank Transfer
aab4ad9f,45929de6,2265,2023-01-01 13:00:00,Clothing,Kids,1,973.82,20.78,233.18,68.17,West,Illinois,Chicago,Bank Transfer
6b435ec3,3fba5118,2374,2023-01-01 14:00:00,Electronics,Laptops,2,1442.15,28.42,182.11,100.95,North,Illinois,Los Angeles,Credit Card
a6478de3,65e823e6,2268,2023-01-01 15:00:00,Sports,Indoor,3,869.59,6.44,52.16,60.87,East,Illinois,Houston,Debit Card
5a8a11b3,d655822f,2168,2023-01-01 16:00:00,Home Decor,Vases,5,1878.22,5.22,476.05,131.48,West,Illinois,Dallas,PayPal
740c2642,ff5b7fb8,2150,2023-01-01 17:00:00,Sports,Outdoor,2,579.44,27.16,143.5,40.56,West,California,Chicago,Bank Transfer
8f4ea7ed,2a2ac75f,2273,2023-01-01 18:00:00,Home Decor,Wall Art,2,699.26,5.92,338.61,48.95,East,Florida,Dallas,Bank Transfer
0a30b0c7,31f27a5d,2172,2023-01-01 19:00:00,Sports,Gym,3,952.05,16.87,392.1,66.64,West,Texas,Miami,PayPal
